ann_date,change_date,code,flow_share,total_share
20220915,20220914,sh688001,362580000,439390000
20220801,20220801,sh688001,362580000,439390000
20220716,20220722,sh688001,411302760,439389180
20220805,20220630,sh688002,257150000,446020000
20220412,20220414,sh688002,257152320,446023750
20220331,20211231,sh688002,256130000,445000000
20220818,20220630,sh688003,74400000,194700000
20220622,20220624,sh688003,74403000,194701000
20220415,20211231,sh688003,73300000,193600000
20220606,20220613,sh688004,39843320,56800000
20220412,20211231,sh688004,39777620,56800000
20210820,20210630,sh688004,39519020,56800000
20220713,20220719,sh688005,280419080,451117000
20220714,20220718,sh688005,278889670,451117000
20220831,20220630,sh688005,275810000,448040000
20220716,20220722,sh688006,404733000,404733000
20220830,20220630,sh688006,113960000,404730000
20220607,20220609,sh688006,113956200.00000001,404733000
20220716,20220722,sh688007,455638399.99999994,455638399.99999994
20220715,20220719,sh688007,288901630,455638399.99999994
20220820,20220630,sh688007,286020000,452760000
20220706,20220708,sh688008,540415610,1133656830
20220810,20220630,sh688008,539580000,1132820000
20220128,20220208,sh688008,539582890,1132824110
20220328,20211231,sh688009,2016590000,10589820000
20210715,20210722,sh688009,3985392579.9999995,10589819000
20210826,20210630,sh688009,1980590000,10589820000
20220824,20220630,sh688010,9599Íò¹É,15358Íò¹É
20220608,20220602,sh688010,95987740,153581940
20220430,20211231,sh688010,96581940,153581940
20220816,20220630,sh688011,4183Íò¹É,10000Íò¹É
20220416,20220416,sh688011,4183Íò¹É,10000Íò¹É
20220428,20211231,sh688011,4183Íò¹É,10000Íò¹É
20220811,20220630,sh688012,328850000,616240000
20211228,20220104,sh688012,328853030,616244480
20220331,20211231,sh688012,248620000,616240000
20220705,20220707,sh688013,38431900,81155600
20220830,20220630,sh688013,37276300,80000000
20220429,20211231,sh688013,37396500,80000000
20220716,20220722,sh688015,187493940,187493940
20220708,20220712,sh688015,120163660,187493940
20220827,20220630,sh688015,119720000,187050000
20220330,20211231,sh688016,38630000,71980000
20210714,20210722,sh688016,38625210,71978150
20210826,20210630,sh688016,36890000,71980000
20220624,20220630,sh688017,91909980,168583380
